Geography,Unemployment rate,Year,RegionName,State
0500000US01003,7.5,2013,Baldwin County,Alabama
0500000US01015,14.7,2013,Calhoun County,Alabama
0500000US01043,6.6,2013,Cullman County,Alabama
0500000US01049,7.1,2013,DeKalb County,Alabama
0500000US01051,8.2,2013,Elmore County,Alabama
0500000US01055,10.1,2013,Etowah County,Alabama
0500000US01069,8.1,2013,Houston County,Alabama
0500000US01073,8.1,2013,Jefferson County,Alabama
0500000US01077,5.9,2013,Lauderdale County,Alabama
0500000US01081,5.3,2013,Lee County,Alabama
0500000US01083,6.1,2013,Limestone County,Alabama
0500000US01089,8.3,2013,Madison County,Alabama
0500000US01095,9.2,2013,Marshall County,Alabama
0500000US01097,10.8,2013,Mobile County,Alabama
0500000US01101,6.8,2013,Montgomery County,Alabama
0500000US01103,10.0,2013,Morgan County,Alabama
0500000US01115,N,2013,St. Clair County,Alabama
0500000US01117,4.3,2013,Shelby County,Alabama
0500000US01121,12.7,2013,Talladega County,Alabama
0500000US01125,7.6,2013,Tuscaloosa County,Alabama
0500000US01127,12.1,2013,Walker County,Alabama
0500000US02020,5.9,2013,Anchorage Municipality,Alaska
0500000US02090,9.0,2013,Fairbanks North Star Borough,Alaska
0500000US02170,9.6,2013,Matanuska-Susitna Borough,Alaska
0500000US04001,18.0,2013,Apache County,Arizona
0500000US04003,7.1,2013,Cochise County,Arizona
0500000US04005,6.5,2013,Coconino County,Arizona
0500000US04013,7.0,2013,Maricopa County,Arizona
0500000US04015,13.8,2013,Mohave County,Arizona
0500000US04017,19.0,2013,Navajo County,Arizona
0500000US04019,9.6,2013,Pima County,Arizona
0500000US04021,8.7,2013,Pinal County,Arizona
0500000US04025,10.2,2013,Yavapai County,Arizona
0500000US04027,12.4,2013,Yuma County,Arizona
0500000US05007,3.7,2013,Benton County,Arkansas
0500000US05031,5.9,2013,Craighead County,Arkansas
0500000US05045,5.4,2013,Faulkner County,Arkansas
0500000US05051,11.1,2013,Garland County,Arkansas
0500000US05069,8.7,2013,Jefferson County,Arkansas
0500000US05085,6.4,2013,Lonoke County,Arkansas
0500000US05119,7.9,2013,Pulaski County,Arkansas
0500000US05125,4.2,2013,Saline County,Arkansas
0500000US05131,6.1,2013,Sebastian County,Arkansas
0500000US05143,5.7,2013,Washington County,Arkansas
0500000US05145,7.5,2013,White County,Arkansas
0500000US06001,8.4,2013,Alameda County,California
0500000US06007,8.7,2013,Butte County,California
0500000US06013,8.1,2013,Contra Costa County,California
0500000US06017,12.9,2013,El Dorado County,California
0500000US06019,12.3,2013,Fresno County,California
0500000US06023,12.4,2013,Humboldt County,California
0500000US06025,15.2,2013,Imperial County,California
0500000US06029,11.3,2013,Kern County,California
0500000US06031,12.6,2013,Kings County,California
0500000US06033,11.8,2013,Lake County,California
0500000US06037,9.5,2013,Los Angeles County,California
0500000US06039,8.6,2013,Madera County,California
0500000US06041,5.9,2013,Marin County,California
0500000US06045,9.4,2013,Mendocino County,California
0500000US06047,18.3,2013,Merced County,California
0500000US06053,8.0,2013,Monterey County,California
0500000US06055,8.1,2013,Napa County,California
0500000US06057,8.4,2013,Nevada County,California
0500000US06059,7.1,2013,Orange County,California
0500000US06061,7.5,2013,Placer County,California
0500000US06065,11.9,2013,Riverside County,California
0500000US06067,11.3,2013,Sacramento County,California
0500000US06071,11.2,2013,San Bernardino County,California
0500000US06073,8.4,2013,San Diego County,California
0500000US06075,6.9,2013,San Francisco County,California
0500000US06077,12.5,2013,San Joaquin County,California
0500000US06079,5.5,2013,San Luis Obispo County,California
0500000US06081,6.7,2013,San Mateo County,California
0500000US06083,6.9,2013,Santa Barbara County,California
0500000US06085,7.7,2013,Santa Clara County,California
0500000US06087,7.9,2013,Santa Cruz County,California
0500000US06089,10.2,2013,Shasta County,California
0500000US06095,10.6,2013,Solano County,California
0500000US06097,7.6,2013,Sonoma County,California
0500000US06099,15.4,2013,Stanislaus County,California
0500000US06101,10.4,2013,Sutter County,California
0500000US06107,12.5,2013,Tulare County,California
0500000US06111,7.4,2013,Ventura County,California
0500000US06113,8.2,2013,Yolo County,California
0500000US06115,18.1,2013,Yuba County,California
0500000US08001,7.1,2013,Adams County,Colorado
0500000US08005,7.5,2013,Arapahoe County,Colorado
0500000US08013,5.5,2013,Boulder County,Colorado
0500000US08031,5.5,2013,Denver County,Colorado
0500000US08035,3.6,2013,Douglas County,Colorado
0500000US08041,7.5,2013,El Paso County,Colorado
0500000US08059,5.4,2013,Jefferson County,Colorado
0500000US08069,4.7,2013,Larimer County,Colorado
0500000US08077,6.9,2013,Mesa County,Colorado
0500000US08101,9.7,2013,Pueblo County,Colorado
0500000US08123,8.1,2013,Weld County,Colorado
0500000US09001,8.7,2013,Fairfield County,Connecticut
0500000US09003,9.3,2013,Hartford County,Connecticut
0500000US09005,7.2,2013,Litchfield County,Connecticut
0500000US09007,5.6,2013,Middlesex County,Connecticut
0500000US09009,8.5,2013,New Haven County,Connecticut
0500000US09011,8.4,2013,New London County,Connecticut
0500000US09013,6.4,2013,Tolland County,Connecticut
0500000US09015,12.5,2013,Windham County,Connecticut
0500000US10001,7.7,2013,Kent County,Delaware
0500000US10003,7.9,2013,New Castle County,Delaware
0500000US10005,10.1,2013,Sussex County,Delaware
0500000US11001,10.2,2013,District of Columbia,District of Columbia
0500000US12001,7.4,2013,Alachua County,Florida
0500000US12005,7.3,2013,Bay County,Florida
0500000US12009,10.7,2013,Brevard County,Florida
0500000US12011,9.8,2013,Broward County,Florida
0500000US12015,11.8,2013,Charlotte County,Florida
0500000US12017,10.2,2013,Citrus County,Florida
0500000US12019,9.5,2013,Clay County,Florida
0500000US12021,8.6,2013,Collier County,Florida
0500000US12023,12.7,2013,Columbia County,Florida
0500000US12031,9.9,2013,Duval County,Florida
0500000US12033,9.3,2013,Escambia County,Florida
0500000US12035,6.2,2013,Flagler County,Florida
0500000US12053,12.4,2013,Hernando County,Florida
0500000US12055,13.4,2013,Highlands County,Florida
0500000US12057,8.0,2013,Hillsborough County,Florida
0500000US12061,10.0,2013,Indian River County,Florida
0500000US12069,8.0,2013,Lake County,Florida
0500000US12071,9.8,2013,Lee County,Florida
0500000US12073,10.0,2013,Leon County,Florida
0500000US12081,7.8,2013,Manatee County,Florida
0500000US12083,11.0,2013,Marion County,Florida
0500000US12085,7.1,2013,Martin County,Florida
0500000US12086,9.7,2013,Miami-Dade County,Florida
0500000US12087,8.2,2013,Monroe County,Florida
0500000US12089,6.7,2013,Nassau County,Florida
0500000US12091,6.6,2013,Okaloosa County,Florida
0500000US12095,8.4,2013,Orange County,Florida
0500000US12097,7.0,2013,Osceola County,Florida
0500000US12099,8.8,2013,Palm Beach County,Florida
0500000US12101,7.8,2013,Pasco County,Florida
0500000US12103,8.2,2013,Pinellas County,Florida
0500000US12105,9.3,2013,Polk County,Florida
0500000US12107,9.9,2013,Putnam County,Florida
0500000US12109,6.9,2013,St. Johns County,Florida
0500000US12111,11.2,2013,St. Lucie County,Florida
0500000US12113,9.6,2013,Santa Rosa County,Florida
0500000US12115,8.6,2013,Sarasota County,Florida
0500000US12117,9.5,2013,Seminole County,Florida
0500000US12119,8.2,2013,Sumter County,Florida
0500000US12127,9.1,2013,Volusia County,Florida
0500000US13013,10.5,2013,Barrow County,Georgia
0500000US13015,10.8,2013,Bartow County,Georgia
0500000US13021,15.9,2013,Bibb County,Georgia
0500000US13031,12.2,2013,Bulloch County,Georgia
0500000US13045,9.4,2013,Carroll County,Georgia
0500000US13047,7.9,2013,Catoosa County,Georgia
0500000US13051,10.1,2013,Chatham County,Georgia
0500000US13057,6.8,2013,Cherokee County,Georgia
0500000US13059,9.9,2013,Clarke County,Georgia
0500000US13063,13.8,2013,Clayton County,Georgia
0500000US13067,7.4,2013,Cobb County,Georgia
0500000US13073,7.4,2013,Columbia County,Georgia
0500000US13077,5.6,2013,Coweta County,Georgia
0500000US13089,10.6,2013,DeKalb County,Georgia
0500000US13095,18.0,2013,Dougherty County,Georgia
0500000US13097,10.7,2013,Douglas County,Georgia
0500000US13113,6.3,2013,Fayette County,Georgia
0500000US13115,10.4,2013,Floyd County,Georgia
0500000US13117,5.3,2013,Forsyth County,Georgia
0500000US13121,9.5,2013,Fulton County,Georgia
0500000US13127,9.7,2013,Glynn County,Georgia
0500000US13135,8.8,2013,Gwinnett County,Georgia
0500000US13139,8.2,2013,Hall County,Georgia
0500000US13151,9.2,2013,Henry County,Georgia
0500000US13153,6.4,2013,Houston County,Georgia
0500000US13179,12.9,2013,Liberty County,Georgia
0500000US13185,11.2,2013,Lowndes County,Georgia
0500000US13215,12.6,2013,Muscogee County,Georgia
0500000US13217,9.9,2013,Newton County,Georgia
0500000US13223,8.8,2013,Paulding County,Georgia
0500000US13245,14.6,2013,Richmond County,Georgia
0500000US13247,9.7,2013,Rockdale County,Georgia
0500000US13285,10.2,2013,Troup County,Georgia
0500000US13295,6.7,2013,Walker County,Georgia
0500000US13297,5.8,2013,Walton County,Georgia
0500000US13313,10.3,2013,Whitfield County,Georgia
0500000US15001,9.0,2013,Hawaii County,Hawaii
0500000US15003,4.7,2013,Honolulu County,Hawaii
0500000US15007,5.6,2013,Kauai County,Hawaii
0500000US15009,6.4,2013,Maui County,Hawaii
0500000US16001,4.9,2013,Ada County,Idaho
0500000US16005,5.5,2013,Bannock County,Idaho
0500000US16019,6.4,2013,Bonneville County,Idaho
0500000US16027,8.5,2013,Canyon County,Idaho
0500000US16055,6.4,2013,Kootenai County,Idaho
0500000US16083,4.9,2013,Twin Falls County,Idaho
0500000US17001,7.5,2013,Adams County,Illinois
0500000US17019,5.3,2013,Champaign County,Illinois
0500000US17031,10.3,2013,Cook County,Illinois
0500000US17037,8.2,2013,DeKalb County,Illinois
0500000US17043,6.1,2013,DuPage County,Illinois
0500000US17089,7.4,2013,Kane County,Illinois
0500000US17091,9.8,2013,Kankakee County,Illinois
0500000US17093,9.9,2013,Kendall County,Illinois
0500000US17097,7.5,2013,Lake County,Illinois
0500000US17099,10.9,2013,LaSalle County,Illinois
0500000US17111,7.1,2013,McHenry County,Illinois
0500000US17113,4.2,2013,McLean County,Illinois
0500000US17115,9.5,2013,Macon County,Illinois
0500000US17119,8.7,2013,Madison County,Illinois
0500000US17143,7.8,2013,Peoria County,Illinois
0500000US17161,8.5,2013,Rock Island County,Illinois
0500000US17163,8.5,2013,St. Clair County,Illinois
0500000US17167,8.3,2013,Sangamon County,Illinois
0500000US17179,7.3,2013,Tazewell County,Illinois
0500000US17183,11.0,2013,Vermilion County,Illinois
0500000US17197,7.7,2013,Will County,Illinois
0500000US17199,9.3,2013,Williamson County,Illinois
0500000US17201,11.1,2013,Winnebago County,Illinois
0500000US18003,8.4,2013,Allen County,Indiana
0500000US18005,3.8,2013,Bartholomew County,Indiana
0500000US18019,6.7,2013,Clark County,Indiana
0500000US18035,10.1,2013,Delaware County,Indiana
0500000US18039,8.0,2013,Elkhart County,Indiana
0500000US18043,6.4,2013,Floyd County,Indiana
0500000US18053,6.5,2013,Grant County,Indiana
0500000US18057,4.4,2013,Hamilton County,Indiana
0500000US18059,9.4,2013,Hancock County,Indiana
0500000US18063,5.8,2013,Hendricks County,Indiana
0500000US18067,7.0,2013,Howard County,Indiana
0500000US18081,5.0,2013,Johnson County,Indiana
0500000US18085,5.3,2013,Kosciusko County,Indiana
0500000US18089,8.7,2013,Lake County,Indiana
0500000US18091,8.1,2013,LaPorte County,Indiana
0500000US18095,7.4,2013,Madison County,Indiana
0500000US18097,9.9,2013,Marion County,Indiana
0500000US18105,4.4,2013,Monroe County,Indiana
0500000US18109,4.4,2013,Morgan County,Indiana
0500000US18127,7.7,2013,Porter County,Indiana
0500000US18141,8.4,2013,St. Joseph County,Indiana
0500000US18157,6.2,2013,Tippecanoe County,Indiana
0500000US18163,6.9,2013,Vanderburgh County,Indiana
0500000US18167,7.2,2013,Vigo County,Indiana
0500000US18177,8.5,2013,Wayne County,Indiana
0500000US19013,6.8,2013,Black Hawk County,Iowa
0500000US19049,N,2013,Dallas County,Iowa
0500000US19061,3.0,2013,Dubuque County,Iowa
0500000US19103,2.8,2013,Johnson County,Iowa
0500000US19113,4.4,2013,Linn County,Iowa
0500000US19153,5.0,2013,Polk County,Iowa
0500000US19155,5.4,2013,Pottawattamie County,Iowa
0500000US19163,4.2,2013,Scott County,Iowa
0500000US19169,3.2,2013,Story County,Iowa
0500000US19193,4.1,2013,Woodbury County,Iowa
0500000US20015,4.0,2013,Butler County,Kansas
0500000US20045,5.5,2013,Douglas County,Kansas
0500000US20091,3.9,2013,Johnson County,Kansas
0500000US20103,4.4,2013,Leavenworth County,Kansas
0500000US20161,5.3,2013,Riley County,Kansas
0500000US20173,6.5,2013,Sedgwick County,Kansas
0500000US20177,7.2,2013,Shawnee County,Kansas
0500000US20209,9.5,2013,Wyandotte County,Kansas
0500000US21015,6.6,2013,Boone County,Kentucky
0500000US21029,8.1,2013,Bullitt County,Kentucky
0500000US21037,7.3,2013,Campbell County,Kentucky
0500000US21047,10.6,2013,Christian County,Kentucky
0500000US21059,5.8,2013,Daviess County,Kentucky
0500000US21067,7.6,2013,Fayette County,Kentucky
0500000US21093,6.8,2013,Hardin County,Kentucky
0500000US21111,7.5,2013,Jefferson County,Kentucky
0500000US21117,7.5,2013,Kenton County,Kentucky
0500000US21145,8.6,2013,McCracken County,Kentucky
0500000US21151,4.9,2013,Madison County,Kentucky
0500000US21195,13.8,2013,Pike County,Kentucky
0500000US21227,5.4,2013,Warren County,Kentucky
0500000US22005,4.9,2013,Ascension Parish,Louisiana
0500000US22015,3.7,2013,Bossier Parish,Louisiana
0500000US22017,6.9,2013,Caddo Parish,Louisiana
0500000US22019,8.9,2013,Calcasieu Parish,Louisiana
0500000US22033,7.1,2013,East Baton Rouge Parish,Louisiana
0500000US22045,11.5,2013,Iberia Parish,Louisiana
0500000US22051,6.2,2013,Jefferson Parish,Louisiana
0500000US22055,5.3,2013,Lafayette Parish,Louisiana
0500000US22057,6.0,2013,Lafourche Parish,Louisiana
0500000US22063,8.4,2013,Livingston Parish,Louisiana
0500000US22071,8.9,2013,Orleans Parish,Louisiana
0500000US22073,6.8,2013,Ouachita Parish,Louisiana
0500000US22079,9.2,2013,Rapides Parish,Louisiana
0500000US22097,5.0,2013,St. Landry Parish,Louisiana
0500000US22103,7.4,2013,St. Tammany Parish,Louisiana
0500000US22105,12.0,2013,Tangipahoa Parish,Louisiana
0500000US22109,3.6,2013,Terrebonne Parish,Louisiana
0500000US23001,7.2,2013,Androscoggin County,Maine
0500000US23003,5.6,2013,Aroostook County,Maine
0500000US23005,5.2,2013,Cumberland County,Maine
0500000US23011,6.8,2013,Kennebec County,Maine
0500000US23019,6.8,2013,Penobscot County,Maine
0500000US23031,6.2,2013,York County,Maine
0500000US24001,10.4,2013,Allegany County,Maryland
0500000US24003,5.9,2013,Anne Arundel County,Maryland
0500000US24005,6.1,2013,Baltimore County,Maryland
0500000US24009,6.7,2013,Calvert County,Maryland
0500000US24013,4.3,2013,Carroll County,Maryland
0500000US24015,6.9,2013,Cecil County,Maryland
0500000US24017,5.7,2013,Charles County,Maryland
0500000US24021,5.9,2013,Frederick County,Maryland
0500000US24025,4.8,2013,Harford County,Maryland
0500000US24027,5.1,2013,Howard County,Maryland
0500000US24031,5.6,2013,Montgomery County,Maryland
0500000US24033,9.0,2013,Prince George's County,Maryland
0500000US24037,3.9,2013,St. Mary's County,Maryland
0500000US24043,6.8,2013,Washington County,Maryland
0500000US24045,7.7,2013,Wicomico County,Maryland
0500000US24510,10.5,2013,Baltimore city,Maryland
0500000US25001,7.5,2013,Barnstable County,Massachusetts
0500000US25003,7.4,2013,Berkshire County,Massachusetts
0500000US25005,9.7,2013,Bristol County,Massachusetts
0500000US25009,7.5,2013,Essex County,Massachusetts
0500000US25011,6.9,2013,Franklin County,Massachusetts
0500000US25013,9.5,2013,Hampden County,Massachusetts
0500000US25015,6.8,2013,Hampshire County,Massachusetts
0500000US25017,6.5,2013,Middlesex County,Massachusetts
0500000US25021,6.3,2013,Norfolk County,Massachusetts
0500000US25023,7.6,2013,Plymouth County,Massachusetts
0500000US25025,7.2,2013,Suffolk County,Massachusetts
0500000US25027,6.5,2013,Worcester County,Massachusetts
0500000US26005,5.9,2013,Allegan County,Michigan
0500000US26017,7.0,2013,Bay County,Michigan
0500000US26021,9.6,2013,Berrien County,Michigan
0500000US26025,7.8,2013,Calhoun County,Michigan
0500000US26037,4.9,2013,Clinton County,Michigan
0500000US26045,6.9,2013,Eaton County,Michigan
0500000US26049,12.1,2013,Genesee County,Michigan
0500000US26055,6.7,2013,Grand Traverse County,Michigan
0500000US26065,10.4,2013,Ingham County,Michigan
0500000US26073,8.8,2013,Isabella County,Michigan
0500000US26075,10.4,2013,Jackson County,Michigan
0500000US26077,9.1,2013,Kalamazoo County,Michigan
0500000US26081,6.8,2013,Kent County,Michigan
0500000US26087,9.9,2013,Lapeer County,Michigan
0500000US26091,8.0,2013,Lenawee County,Michigan
0500000US26093,4.6,2013,Livingston County,Michigan
0500000US26099,7.8,2013,Macomb County,Michigan
0500000US26103,8.9,2013,Marquette County,Michigan
0500000US26111,9.1,2013,Midland County,Michigan
0500000US26115,9.1,2013,Monroe County,Michigan
0500000US26121,11.3,2013,Muskegon County,Michigan
0500000US26125,6.2,2013,Oakland County,Michigan
0500000US26139,5.2,2013,Ottawa County,Michigan
0500000US26145,9.3,2013,Saginaw County,Michigan
0500000US26147,10.2,2013,St. Clair County,Michigan
0500000US26155,12.3,2013,Shiawassee County,Michigan
0500000US26159,6.2,2013,Van Buren County,Michigan
0500000US26161,7.2,2013,Washtenaw County,Michigan
0500000US26163,14.1,2013,Wayne County,Michigan
0500000US27003,5.4,2013,Anoka County,Minnesota
0500000US27013,4.1,2013,Blue Earth County,Minnesota
0500000US27019,3.5,2013,Carver County,Minnesota
0500000US27037,4.7,2013,Dakota County,Minnesota
0500000US27053,5.5,2013,Hennepin County,Minnesota
0500000US27109,4.5,2013,Olmsted County,Minnesota
0500000US27123,6.8,2013,Ramsey County,Minnesota
0500000US27131,4.8,2013,Rice County,Minnesota
0500000US27137,4.8,2013,St. Louis County,Minnesota
0500000US27139,3.9,2013,Scott County,Minnesota
0500000US27141,4.2,2013,Sherburne County,Minnesota
0500000US27145,4.3,2013,Stearns County,Minnesota
0500000US27163,3.7,2013,Washington County,Minnesota
0500000US27171,4.0,2013,Wright County,Minnesota
0500000US28033,5.9,2013,DeSoto County,Mississippi
0500000US28035,12.6,2013,Forrest County,Mississippi
0500000US28047,8.2,2013,Harrison County,Mississippi
0500000US28049,9.3,2013,Hinds County,Mississippi
0500000US28059,9.9,2013,Jackson County,Mississippi
0500000US28067,8.3,2013,Jones County,Mississippi
0500000US28075,10.0,2013,Lauderdale County,Mississippi
0500000US28081,5.2,2013,Lee County,Mississippi
0500000US28089,3.5,2013,Madison County,Mississippi
0500000US28121,4.8,2013,Rankin County,Mississippi
0500000US29019,3.8,2013,Boone County,Missouri
0500000US29021,7.4,2013,Buchanan County,Missouri
0500000US29031,4.9,2013,Cape Girardeau County,Missouri
0500000US29037,5.7,2013,Cass County,Missouri
0500000US29043,7.2,2013,Christian County,Missouri
0500000US29047,5.8,2013,Clay County,Missouri
0500000US29051,4.8,2013,Cole County,Missouri
0500000US29071,7.3,2013,Franklin County,Missouri
0500000US29077,6.3,2013,Greene County,Missouri
0500000US29095,6.2,2013,Jackson County,Missouri
0500000US29097,6.6,2013,Jasper County,Missouri
0500000US29099,8.7,2013,Jefferson County,Missouri
0500000US29165,4.8,2013,Platte County,Missouri
0500000US29183,4.8,2013,St. Charles County,Missouri
0500000US29187,7.7,2013,St. Francois County,Missouri
0500000US29189,6.8,2013,St. Louis County,Missouri
0500000US29510,10.6,2013,St. Louis city,Missouri
0500000US30013,4.3,2013,Cascade County,Montana
0500000US30029,5.5,2013,Flathead County,Montana
0500000US30031,5.7,2013,Gallatin County,Montana
0500000US30049,2.7,2013,Lewis and Clark County,Montana
0500000US30063,9.8,2013,Missoula County,Montana
0500000US30111,4.3,2013,Yellowstone County,Montana
0500000US31055,4.1,2013,Douglas County,Nebraska
0500000US31109,4.8,2013,Lancaster County,Nebraska
0500000US31153,4.2,2013,Sarpy County,Nebraska
0500000US32003,10.5,2013,Clark County,Nevada
0500000US32031,9.4,2013,Washoe County,Nevada
0500000US33005,7.4,2013,Cheshire County,New Hampshire
0500000US33009,4.5,2013,Grafton County,New Hampshire
0500000US33011,5.7,2013,Hillsborough County,New Hampshire
0500000US33013,4.4,2013,Merrimack County,New Hampshire
0500000US33015,5.3,2013,Rockingham County,New Hampshire
0500000US33017,4.6,2013,Strafford County,New Hampshire
0500000US34001,11.5,2013,Atlantic County,New Jersey
0500000US34003,6.6,2013,Bergen County,New Jersey
0500000US34005,7.4,2013,Burlington County,New Jersey
0500000US34007,9.5,2013,Camden County,New Jersey
0500000US34009,9.9,2013,Cape May County,New Jersey
0500000US34011,13.8,2013,Cumberland County,New Jersey
0500000US34013,13.1,2013,Essex County,New Jersey
0500000US34015,9.3,2013,Gloucester County,New Jersey
0500000US34017,9.0,2013,Hudson County,New Jersey
0500000US34019,4.9,2013,Hunterdon County,New Jersey
0500000US34021,8.6,2013,Mercer County,New Jersey
0500000US34023,7.8,2013,Middlesex County,New Jersey
0500000US34025,8.2,2013,Monmouth County,New Jersey
0500000US34027,5.5,2013,Morris County,New Jersey
0500000US34029,8.6,2013,Ocean County,New Jersey
0500000US34031,8.2,2013,Passaic County,New Jersey
0500000US34033,10.0,2013,Salem County,New Jersey
0500000US34035,5.2,2013,Somerset County,New Jersey
0500000US34037,6.7,2013,Sussex County,New Jersey
0500000US34039,9.5,2013,Union County,New Jersey
0500000US34041,9.2,2013,Warren County,New Jersey
0500000US35001,7.0,2013,Bernalillo County,New Mexico
0500000US35005,5.0,2013,Chaves County,New Mexico
0500000US35013,10.6,2013,Doña Ana County,New Mexico
0500000US35025,5.0,2013,Lea County,New Mexico
0500000US35031,13.6,2013,McKinley County,New Mexico
0500000US35035,15.7,2013,Otero County,New Mexico
0500000US35043,9.3,2013,Sandoval County,New Mexico
0500000US35045,7.5,2013,San Juan County,New Mexico
0500000US35049,8.3,2013,Santa Fe County,New Mexico
0500000US35061,6.6,2013,Valencia County,New Mexico
0500000US36001,6.3,2013,Albany County,New York
0500000US36005,13.7,2013,Bronx County,New York
0500000US36007,8.1,2013,Broome County,New York
0500000US36009,8.4,2013,Cattaraugus County,New York
0500000US36011,6.0,2013,Cayuga County,New York
0500000US36013,9.4,2013,Chautauqua County,New York
0500000US36015,6.3,2013,Chemung County,New York
0500000US36019,8.9,2013,Clinton County,New York
0500000US36027,7.5,2013,Dutchess County,New York
0500000US36029,7.0,2013,Erie County,New York
0500000US36045,11.9,2013,Jefferson County,New York
0500000US36047,9.9,2013,Kings County,New York
0500000US36051,4.7,2013,Livingston County,New York
0500000US36053,5.1,2013,Madison County,New York
0500000US36055,7.8,2013,Monroe County,New York
0500000US36059,6.1,2013,Nassau County,New York
0500000US36061,7.3,2013,New York County,New York
0500000US36063,8.2,2013,Niagara County,New York
0500000US36065,6.8,2013,Oneida County,New York
0500000US36067,7.4,2013,Onondaga County,New York
0500000US36069,6.6,2013,Ontario County,New York
0500000US36071,7.3,2013,Orange County,New York
0500000US36075,10.7,2013,Oswego County,New York
0500000US36079,4.4,2013,Putnam County,New York
0500000US36081,8.5,2013,Queens County,New York
0500000US36083,8.4,2013,Rensselaer County,New York
0500000US36085,7.0,2013,Richmond County,New York
0500000US36087,8.1,2013,Rockland County,New York
0500000US36089,11.0,2013,St. Lawrence County,New York
0500000US36091,5.8,2013,Saratoga County,New York
0500000US36093,7.4,2013,Schenectady County,New York
0500000US36101,8.0,2013,Steuben County,New York
0500000US36103,6.3,2013,Suffolk County,New York
0500000US36105,13.4,2013,Sullivan County,New York
0500000US36109,3.8,2013,Tompkins County,New York
0500000US36111,8.0,2013,Ulster County,New York
0500000US36113,6.6,2013,Warren County,New York
0500000US36117,4.8,2013,Wayne County,New York
0500000US36119,7.9,2013,Westchester County,New York
0500000US37001,6.4,2013,Alamance County,North Carolina
0500000US37019,12.9,2013,Brunswick County,North Carolina
0500000US37021,5.7,2013,Buncombe County,North Carolina
0500000US37023,11.7,2013,Burke County,North Carolina
0500000US37025,8.1,2013,Cabarrus County,North Carolina
0500000US37027,16.5,2013,Caldwell County,North Carolina
0500000US37031,12.4,2013,Carteret County,North Carolina
0500000US37035,10.0,2013,Catawba County,North Carolina
0500000US37037,7.9,2013,Chatham County,North Carolina
0500000US37045,12.7,2013,Cleveland County,North Carolina
0500000US37049,9.6,2013,Craven County,North Carolina
0500000US37051,12.1,2013,Cumberland County,North Carolina
0500000US37057,11.5,2013,Davidson County,North Carolina
0500000US37063,6.8,2013,Durham County,North Carolina
0500000US37067,7.2,2013,Forsyth County,North Carolina
0500000US37071,9.9,2013,Gaston County,North Carolina
0500000US37081,8.4,2013,Guilford County,North Carolina
0500000US37085,10.4,2013,Harnett County,North Carolina
0500000US37089,6.1,2013,Henderson County,North Carolina
0500000US37097,9.3,2013,Iredell County,North Carolina
0500000US37101,10.6,2013,Johnston County,North Carolina
0500000US37109,10.6,2013,Lincoln County,North Carolina
0500000US37119,8.5,2013,Mecklenburg County,North Carolina
0500000US37125,7.7,2013,Moore County,North Carolina
0500000US37127,10.6,2013,Nash County,North Carolina
0500000US37129,8.0,2013,New Hanover County,North Carolina
0500000US37133,11.9,2013,Onslow County,North Carolina
0500000US37135,7.2,2013,Orange County,North Carolina
0500000US37147,10.4,2013,Pitt County,North Carolina
0500000US37151,9.4,2013,Randolph County,North Carolina
0500000US37155,11.4,2013,Robeson County,North Carolina
0500000US37157,10.4,2013,Rockingham County,North Carolina
0500000US37159,14.2,2013,Rowan County,North Carolina
0500000US37161,10.2,2013,Rutherford County,North Carolina
0500000US37171,6.8,2013,Surry County,North Carolina
0500000US37179,6.9,2013,Union County,North Carolina
0500000US37183,6.3,2013,Wake County,North Carolina
0500000US37191,11.3,2013,Wayne County,North Carolina
0500000US37193,12.6,2013,Wilkes County,North Carolina
0500000US37195,7.7,2013,Wilson County,North Carolina
0500000US38015,1.0,2013,Burleigh County,North Dakota
0500000US38017,2.2,2013,Cass County,North Dakota
0500000US38035,4.8,2013,Grand Forks County,North Dakota
0500000US38101,1.9,2013,Ward County,North Dakota
0500000US39003,8.8,2013,Allen County,Ohio
0500000US39007,7.3,2013,Ashtabula County,Ohio
0500000US39013,6.7,2013,Belmont County,Ohio
0500000US39017,6.5,2013,Butler County,Ohio
0500000US39023,8.0,2013,Clark County,Ohio
0500000US39025,3.9,2013,Clermont County,Ohio
0500000US39029,6.2,2013,Columbiana County,Ohio
0500000US39035,9.8,2013,Cuyahoga County,Ohio
0500000US39041,2.4,2013,Delaware County,Ohio
0500000US39043,7.4,2013,Erie County,Ohio
0500000US39045,6.3,2013,Fairfield County,Ohio
0500000US39049,6.0,2013,Franklin County,Ohio
0500000US39055,4.0,2013,Geauga County,Ohio
0500000US39057,7.5,2013,Greene County,Ohio
0500000US39061,7.9,2013,Hamilton County,Ohio
0500000US39063,5.3,2013,Hancock County,Ohio
0500000US39081,6.4,2013,Jefferson County,Ohio
0500000US39085,5.5,2013,Lake County,Ohio
0500000US39089,7.2,2013,Licking County,Ohio
0500000US39093,7.1,2013,Lorain County,Ohio
0500000US39095,10.4,2013,Lucas County,Ohio
0500000US39099,9.2,2013,Mahoning County,Ohio
0500000US39101,8.9,2013,Marion County,Ohio
0500000US39103,4.1,2013,Medina County,Ohio
0500000US39109,7.1,2013,Miami County,Ohio
0500000US39113,9.0,2013,Montgomery County,Ohio
0500000US39119,8.4,2013,Muskingum County,Ohio
0500000US39133,8.5,2013,Portage County,Ohio
